tahun,bulan,kode_prov_baru,kode_kab_baru,jenis_akomodasi,kelas_akomodasi,room,bed,room_yesterday,room_in,room_out,wna_yesterday,wni_yesterday,wna_in,wni_in,wna_out,wni_out
2023,1,33,23,2,2,4311,8624,2022,1978,2021,0,4044,0,3954,0,4044
2023,1,33,24,2,2,3285,6571,1080,1083,1080,0,2158,0,2164,0,2158
2023,1,33,25,2,2,1426,2852,595,572,595,0,1190,0,1144,0,1190
2023,1,33,26,2,2,2480,4960,1624,1622,1624,0,3228,0,3224,0,3228
2023,1,33,27,2,2,1978,4123,428,436,428,0,869,0,887,0,869
2023,1,33,28,2,2,3875,7750,940,927,940,0,1896,0,1870,0,1896
2023,1,33,71,2,2,4064,8029,691,654,669,0,1373,0,1311,0,1339
2023,1,33,72,2,2,29965,60036,8634,7728,7863,0,15688,0,14358,0,14608
2023,1,33,73,2,2,7564,15748,2703,2153,2235,0,5322,0,4280,0,4444
2023,1,33,74,2,2,16739,35252,5435,4151,4218,0,11056,0,8486,0,8615
2023,1,33,75,2,2,4954,9833,944,916,944,0,1941,0,1838,0,1893
2023,1,33,76,2,2,2103,3793,714,712,714,0,1265,0,1254,0,1265
2023,1,33,01,2,3,4989,9978,972,885,880,0,1738,0,1684,0,1676
2023,1,33,02,2,3,17913,35827,3350,3207,3338,0,6681,0,6415,0,6681
2023,1,33,03,2,3,1054,1674,59,56,59,0,164,0,112,0,116
2023,1,33,04,2,3,4573,9145,838,816,838,0,1675,0,1630,0,1675
2023,1,33,05,2,3,8440,18206,3039,2090,2170,0,6110,0,4206,0,4373
2023,1,33,06,2,3,4712,8491,924,792,769,0,1645,0,1452,0,1405
2023,1,33,07,2,3,8910,17206,1506,1378,1417,4,2845,4,2744,4,2814
2023,1,33,08,2,3,6107,13826,1241,1193,1241,88,2414,77,2329,88,2414
2023,1,33,09,2,3,7440,12996,871,657,663,0,1473,0,1153,0,1169
2023,1,33,10,2,3,5766,10540,358,262,276,0,582,0,534,0,578
2023,1,33,11,2,3,2542,4619,199,151,175,0,388,0,302,0,352
2023,1,33,13,2,3,3472,6448,350,320,350,0,716,0,628,0,684
2023,1,33,14,2,3,2651,5301,586,605,586,0,1632,0,1683,0,1632
2023,1,33,15,2,3,2697,5394,460,388,393,0,920,0,776,0,786
2023,1,33,16,2,3,16541,33089,3086,2976,2998,0,5911,0,5681,0,5723
2023,1,33,17,2,3,5353,10695,690,676,690,0,1313,0,1284,0,1313
2023,1,33,18,2,3,10464,19178,2466,1780,1742,0,5129,0,3171,0,3084
2023,1,33,19,2,3,5697,7518,1152,892,904,0,1813,0,1510,0,1543
2023,1,33,20,2,3,4741,9482,871,650,637,0,1742,0,1301,0,1274
2023,1,33,21,2,3,930,1860,248,259,248,0,534,0,518,0,494
2023,1,33,22,2,3,19400,38328,3214,3152,3213,0,6428,0,6309,0,6426
2023,1,33,23,2,3,1550,3100,312,296,312,0,624,0,592,0,624
2023,1,33,24,2,3,3422,6309,291,281,291,0,582,0,561,0,582
2023,1,33,25,2,3,1860,3720,727,721,727,0,1454,0,1442,0,1454
2023,1,33,26,2,3,992,1984,127,125,127,0,254,0,250,0,254
2023,1,33,27,2,3,8329,16905,1845,1791,1815,0,3372,0,3265,0,3314
2023,1,33,28,2,3,3782,7564,1118,1118,1118,0,2236,0,2236,0,2236
2023,1,33,29,2,3,4763,8698,1967,1927,1967,0,3935,0,3854,0,3935
2023,1,33,71,2,3,5301,10974,1399,1273,1327,0,2836,0,2576,0,2674
2023,1,33,72,2,3,20044,40362,8315,7827,7978,0,15146,0,14242,0,14540
2023,1,33,73,2,3,6417,12834,1303,1254,1303,0,2368,0,2269,0,2368
2023,1,33,74,2,3,17186,34595,5802,4959,5029,0,11607,0,9911,0,10054
2023,1,33,75,2,3,4867,8802,679,632,669,0,1628,0,1253,0,1315
2023,1,33,76,2,3,5642,10044,1169,1146,1169,0,2088,0,2046,0,2088
2023,1,33,01,2,4,1302,2604,157,147,157,0,314,0,294,0,314
2023,1,33,02,2,4,21743,43479,6116,5855,6116,0,12234,0,11708,0,12234
2023,1,33,03,2,4,2542,5456,708,596,658,0,1976,0,1724,0,1844
2023,1,33,05,2,4,5160,7998,1164,990,978,0,2028,0,2040,0,2028
2023,1,33,06,2,4,1395,2418,360,352,360,0,720,0,704,0,720
